lat,lon
38.4958,-76.2442
38.4961,-76.2442
38.498,-76.2442
38.4982,-76.2442
38.4985,-76.2442
38.6166,-76.2442
38.4171,-76.2439
38.4198,-76.2439
38.4969,-76.2439
38.4977,-76.2439
38.4993,-76.2439
38.4999,-76.2439
38.6166,-76.2439
38.6085,-76.2437
38.4877,-76.2434
38.488,-76.2434
38.5707,-76.2434
38.6085,-76.2434
38.4915,-76.2431
38.4926,-76.2431
38.4945,-76.2431
38.5699,-76.2431
38.4163,-76.2428
38.5729,-76.2428
38.4869,-76.2423
38.4872,-76.2423
38.505,-76.2423
38.4864,-76.242
38.4885,-76.242
38.5699,-76.242
38.6058,-76.242
38.4158,-76.2418
38.5767,-76.2418
38.4158,-76.2415
38.4174,-76.2415
38.4177,-76.2415
38.5769,-76.2415
38.5777,-76.2415
38.5988,-76.2415
38.5788,-76.2412
38.4104,-76.241
38.4115,-76.241
38.4872,-76.241
38.4877,-76.241
38.488,-76.241
38.5872,-76.241
38.3907,-76.2407
38.4099,-76.2407
38.4112,-76.2407
38.4147,-76.2407
38.4147,-76.2404
38.4958,-76.2404
38.4961,-76.2404
38.5769,-76.2404
38.5772,-76.2404
38.5775,-76.2404
38.4826,-76.2402
38.4829,-76.2402
38.5023,-76.2402
38.5645,-76.2402
38.5829,-76.2402
38.5834,-76.2402
38.5848,-76.2402
38.4861,-76.2399
38.4864,-76.2399
38.4875,-76.2399
38.4877,-76.2399
38.4885,-76.2399
38.5837,-76.2399
38.5856,-76.2399
38.4085,-76.2396
38.4088,-76.2396
38.4875,-76.2396
38.4885,-76.2396
38.5694,-76.2396
38.5856,-76.2396
38.408,-76.2393
38.4085,-76.2393
38.4099,-76.2393
38.4888,-76.2393
38.5521,-76.2393
38.5694,-76.2393
38.5702,-76.2393
38.5705,-76.2393
38.5726,-76.2393
38.5729,-76.2393
38.4166,-76.2391
38.4169,-76.2391
38.5007,-76.2391
38.5794,-76.2391
38.5799,-76.2391
38.4212,-76.2388
38.4788,-76.2388
38.5791,-76.2388
38.5799,-76.2388
38.5837,-76.2388
38.4848,-76.2385
38.4861,-76.2385
38.4864,-76.2385
38.4867,-76.2385
38.5837,-76.2385
38.4093,-76.2383
38.4096,-76.2383
38.4099,-76.2383
38.415,-76.2383
38.4902,-76.2383
38.5505,-76.2383
38.4748,-76.238
38.4756,-76.238
38.5729,-76.238
38.5748,-76.238
38.5775,-76.238
38.5783,-76.238
38.4791,-76.2377
38.4794,-76.2377
38.5764,-76.2377
38.5786,-76.2377
38.5799,-76.2377
38.4066,-76.2375
38.408,-76.2375
38.4837,-76.2375
38.4845,-76.2375
38.4864,-76.2375
38.3902,-76.2372
38.3904,-76.2372
38.4061,-76.2372
38.4088,-76.2372
38.5532,-76.2369
38.5726,-76.2369
38.4107,-76.2366
38.5532,-76.2366
38.4794,-76.2364
38.4821,-76.2364
38.4826,-76.2364
38.5802,-76.2364
38.5662,-76.2361
38.5664,-76.2361
38.5667,-76.2361
38.3861,-76.2358
38.5664,-76.2358
38.5667,-76.2358
38.4142,-76.2356
38.4756,-76.2356
38.4767,-76.2356
38.5532,-76.2356
38.5759,-76.2356
38.4772,-76.2353
38.4786,-76.2353
38.5783,-76.2353
38.5786,-76.2353
38.4813,-76.235
38.4818,-76.235
38.4832,-76.235
38.5786,-76.235
38.4864,-76.2348
38.4867,-76.2348
38.5694,-76.2348
38.4937,-76.2345
38.5521,-76.2345
38.5524,-76.2345
38.5532,-76.2345
38.5694,-76.2345
38.5751,-76.2345
38.5524,-76.2342
38.5535,-76.2342
38.5538,-76.2342
38.5729,-76.2342
38.574,-76.2342
38.5748,-76.2342
38.5751,-76.2342
38.4821,-76.234
38.4848,-76.234
38.4856,-76.2337
38.5632,-76.2337
38.5848,-76.2337
38.5705,-76.2331
38.4381,-76.2326
38.4832,-76.2326
38.5592,-76.2326
38.5594,-76.2326
38.4848,-76.2323
38.5546,-76.2318
38.5551,-76.2315
38.4732,-76.2307
38.5608,-76.2302
38.6044,-76.2302
38.6052,-76.2302
38.4751,-76.2294
38.4346,-76.2291
38.4376,-76.2291
38.5573,-76.2291
38.5635,-76.2288
38.5519,-76.2286
38.5519,-76.2283
38.4751,-76.228
38.5955,-76.228
38.5114,-76.2269
38.5901,-76.2269
38.5928,-76.2269
38.5936,-76.2269
38.612,-76.2269
38.5928,-76.2259
38.5936,-76.2259
38.5939,-76.2259
38.5936,-76.2256
38.5939,-76.2256
38.5947,-76.2256
38.5955,-76.2256
38.3411,-76.2251
38.5893,-76.2251
38.5893,-76.2248
38.5901,-76.2248
38.5893,-76.2245
38.5928,-76.2245
38.5931,-76.2245
38.5936,-76.2245
38.6104,-76.2245
38.5982,-76.2243
38.5985,-76.2243
38.585,-76.224
38.602,-76.224
38.585,-76.2237
38.6069,-76.2237
38.3449,-76.2234
38.5858,-76.2234
38.6109,-76.2234
38.4344,-76.2232
38.5936,-76.2232
38.5958,-76.2232
38.5963,-76.2232
38.5966,-76.2232
38.5993,-76.2229
38.4985,-76.2226
38.5028,-76.2226
38.5993,-76.2226
38.6017,-76.2226
38.602,-76.2226
38.4885,-76.2224
38.5066,-76.2224
38.326,-76.2221
38.5928,-76.2221
38.4338,-76.2218
38.5955,-76.2218
38.5958,-76.2218
38.5961,-76.2218
38.5966,-76.2218
38.5028,-76.2216
38.5031,-76.2216
38.5023,-76.2213
38.3365,-76.2205
38.4985,-76.2205
38.5969,-76.2205
38.598,-76.2205
38.5982,-76.2205
38.4823,-76.2202
38.4982,-76.2202
38.4985,-76.2202
38.6001,-76.2202
38.6036,-76.2199
38.4958,-76.2194
38.5942,-76.2194
38.4858,-76.2189
38.509,-76.2183
38.3368,-76.2181
38.4761,-76.2181
38.5788,-76.2181
38.336,-76.2178
38.4834,-76.2172
38.5953,-76.217
38.3958,-76.2167
38.4753,-76.2167
38.4772,-76.2167
38.5815,-76.2167
38.5799,-76.2164
38.5802,-76.2164
38.4042,-76.2162
38.4904,-76.2162
38.568,-76.2162
38.4718,-76.2159
38.4904,-76.2159
38.4699,-76.2156
38.4718,-76.2156
38.5772,-76.2156
38.5775,-76.2156
38.5686,-76.2148
38.5699,-76.2148
38.5702,-76.2148
38.4934,-76.2146
38.4945,-76.2146
38.5753,-76.2146
38.5791,-76.2146
38.3923,-76.2143
38.495,-76.2143
38.5783,-76.2143
38.5786,-76.2143
38.5791,-76.2143
38.5807,-76.2143
38.598,-76.2143
38.5802,-76.214
38.5815,-76.214
38.4602,-76.2137
38.3934,-76.2132
38.4929,-76.2132
38.4931,-76.2132
38.4958,-76.2132
38.5761,-76.2132
38.5764,-76.2132
38.5767,-76.2132
38.474,-76.2129
38.4745,-76.2129
38.4775,-76.2129
38.5764,-76.2129
38.5772,-76.2129
38.578,-76.2129
38.5794,-76.2129
38.4713,-76.2121
38.3937,-76.2119
38.3942,-76.2119
38.4953,-76.2119
38.5786,-76.2119
38.3918,-76.2108
